detector,dataset,granularity,vocab_id,strategy,alpha,selected_threshold,calib_ucb_risk,calib_empirical_risk,calib_coverage,test_achieved_risk,test_achieved_coverage,test_num_kept,test_num_errors,ucb_method,delta,calib_guarantee_margin,test_margin,target_met_on_test,worst_group_test,worst_group_test_risk,target_met_worst_group
mock,toy_det,coarse,bd237371f3f3,groupwise,0.1,1.0,1.0,1.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.9,-0.9,False,daytime,1.0,False
mock,toy_det,coarse,bd237371f3f3,groupwise,0.2,1.0,1.0,1.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.8,-0.8,False,daytime,1.0,False
mock,toy_det,counterfactual,0f928b030b4a,flat,0.05,1.0,1.0,0.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.95,-0.95,False,,,
mock,toy_det,counterfactual,0f928b030b4a,flat,0.1,1.0,1.0,0.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.9,-0.9,False,,,
mock,toy_det,counterfactual,0f928b030b4a,flat,0.2,0.36704692135396294,0.19288253985462395,1.0,0.9148936170212766,0.1531791907514451,0.9193976970770593,1038,159,clopper_pearson,0.05,0.007117460145376064,0.04682080924855492,True,,,
mock,toy_det,counterfactual,0f928b030b4a,hierarchy,0.05,1.0,1.0,0.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.95,-0.95,False,,,
mock,toy_det,counterfactual,0f928b030b4a,hierarchy,0.1,1.0,1.0,0.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.9,-0.9,False,,,
mock,toy_det,counterfactual,0f928b030b4a,hierarchy,0.2,0.36704692135396294,0.19288253985462395,1.0,0.9148936170212766,0.1531791907514451,0.9193976970770593,1038,159,clopper_pearson,0.05,0.007117460145376064,0.04682080924855492,True,,,
mock,toy_det,counterfactual,0f928b030b4a,groupwise,0.05,1.0,1.0,1.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.95,-0.95,False,daytime,1.0,False
mock,toy_det,counterfactual,0f928b030b4a,groupwise,0.1,1.0,1.0,1.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.9,-0.9,False,daytime,1.0,False
mock,toy_det,counterfactual,0f928b030b4a,groupwise,0.2,1.0,1.0,1.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.8,-0.8,False,daytime,1.0,False
mock,toy_det,counterfactual,62bb72cf3cdb,flat,0.05,1.0,1.0,0.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.95,-0.95,False,,,
mock,toy_det,counterfactual,62bb72cf3cdb,flat,0.1,1.0,1.0,0.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.9,-0.9,False,,,
mock,toy_det,counterfactual,62bb72cf3cdb,flat,0.2,0.3769973714448743,0.19398609171906595,1.0,0.8883116883116883,0.1528846153846154,0.9004329004329005,1040,159,clopper_pearson,0.05,0.006013908280934066,0.047115384615384615,True,,,
mock,toy_det,counterfactual,62bb72cf3cdb,hierarchy,0.05,1.0,1.0,0.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.95,-0.95,False,,,
mock,toy_det,counterfactual,62bb72cf3cdb,hierarchy,0.1,1.0,1.0,0.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.9,-0.9,False,,,
mock,toy_det,counterfactual,62bb72cf3cdb,hierarchy,0.2,0.3769973714448743,0.19398609171906595,1.0,0.8883116883116883,0.1528846153846154,0.9004329004329005,1040,159,clopper_pearson,0.05,0.006013908280934066,0.047115384615384615,True,,,
mock,toy_det,counterfactual,62bb72cf3cdb,groupwise,0.05,1.0,1.0,1.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.95,-0.95,False,daytime,1.0,False
mock,toy_det,counterfactual,62bb72cf3cdb,groupwise,0.1,1.0,1.0,1.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.9,-0.9,False,daytime,1.0,False
mock,toy_det,counterfactual,62bb72cf3cdb,groupwise,0.2,1.0,1.0,1.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.8,-0.8,False,daytime,1.0,False
mock,toy_det,counterfactual,c514a1b5fc98,flat,0.05,1.0,1.0,0.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.95,-0.95,False,,,
mock,toy_det,counterfactual,c514a1b5fc98,flat,0.1,1.0,1.0,0.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.9,-0.9,False,,,
mock,toy_det,counterfactual,c514a1b5fc98,flat,0.2,0.38027817781805706,0.19288253985462395,1.0,0.9297297297297298,0.15406976744186046,0.9140832595217007,1032,159,clopper_pearson,0.05,0.007117460145376064,0.04593023255813955,True,,,
mock,toy_det,counterfactual,c514a1b5fc98,hierarchy,0.05,1.0,1.0,0.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.95,-0.95,False,,,
mock,toy_det,counterfactual,c514a1b5fc98,hierarchy,0.1,1.0,1.0,0.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.9,-0.9,False,,,
mock,toy_det,counterfactual,c514a1b5fc98,hierarchy,0.2,0.38027817781805706,0.19288253985462395,1.0,0.9297297297297298,0.15406976744186046,0.9140832595217007,1032,159,clopper_pearson,0.05,0.007117460145376064,0.04593023255813955,True,,,
mock,toy_det,counterfactual,c514a1b5fc98,groupwise,0.05,1.0,1.0,1.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.95,-0.95,False,daytime,1.0,False
mock,toy_det,counterfactual,c514a1b5fc98,groupwise,0.1,1.0,1.0,1.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.9,-0.9,False,daytime,1.0,False
mock,toy_det,counterfactual,c514a1b5fc98,groupwise,0.2,1.0,1.0,1.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.8,-0.8,False,daytime,1.0,False
mock,toy_det,fine,0d202ebee3c7,flat,0.05,1.0,1.0,0.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.95,-0.95,False,,,
mock,toy_det,fine,0d202ebee3c7,flat,0.1,1.0,1.0,0.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.9,-0.9,False,,,
mock,toy_det,fine,0d202ebee3c7,flat,0.2,0.5102225883442599,0.19288253985462395,1.0,1.0,0.15229885057471265,1.0,1044,159,clopper_pearson,0.05,0.007117460145376064,0.04770114942528736,True,,,
mock,toy_det,fine,0d202ebee3c7,hierarchy,0.05,1.0,1.0,0.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.95,-0.95,False,,,
mock,toy_det,fine,0d202ebee3c7,hierarchy,0.1,1.0,1.0,0.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.9,-0.9,False,,,
mock,toy_det,fine,0d202ebee3c7,hierarchy,0.2,0.5102225883442599,0.19288253985462395,1.0,1.0,0.15229885057471265,1.0,1044,159,clopper_pearson,0.05,0.007117460145376064,0.04770114942528736,True,,,
mock,toy_det,fine,0d202ebee3c7,groupwise,0.05,1.0,1.0,1.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.95,-0.95,False,daytime,1.0,False
mock,toy_det,fine,0d202ebee3c7,groupwise,0.1,1.0,1.0,1.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.9,-0.9,False,daytime,1.0,False
mock,toy_det,fine,0d202ebee3c7,groupwise,0.2,1.0,1.0,1.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.8,-0.8,False,daytime,1.0,False
mock,toy_det,fine,3ec724496c17,flat,0.05,1.0,1.0,0.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.95,-0.95,False,,,
mock,toy_det,fine,3ec724496c17,flat,0.1,1.0,1.0,0.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.9,-0.9,False,,,
mock,toy_det,fine,3ec724496c17,flat,0.2,0.44979903656330555,0.19288253985462395,1.0,1.0,0.15229885057471265,1.0,1044,159,clopper_pearson,0.05,0.007117460145376064,0.04770114942528736,True,,,
mock,toy_det,fine,3ec724496c17,hierarchy,0.05,1.0,1.0,0.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.95,-0.95,False,,,
mock,toy_det,fine,3ec724496c17,hierarchy,0.1,1.0,1.0,0.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.9,-0.9,False,,,
mock,toy_det,fine,3ec724496c17,hierarchy,0.2,0.44979903656330555,0.19288253985462395,1.0,1.0,0.15229885057471265,1.0,1044,159,clopper_pearson,0.05,0.007117460145376064,0.04770114942528736,True,,,
mock,toy_det,fine,3ec724496c17,groupwise,0.05,1.0,1.0,1.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.95,-0.95,False,daytime,1.0,False
mock,toy_det,fine,3ec724496c17,groupwise,0.1,1.0,1.0,1.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.9,-0.9,False,daytime,1.0,False
