detector,dataset,granularity,vocab_id,strategy,threshold,risk,coverage,ucb_risk,num_kept,num_errors,worst_group,worst_group_risk,worst_group_ucb
mock,toy_det,coarse,34774e738af0,flat,0.5046332856956658,1.0,0.6642066420664207,0.7871306920768155,180,132,,,
mock,toy_det,coarse,34774e738af0,flat,0.5160634158479396,1.0,0.6494464944649446,0.8030499051171193,176,132,,,
mock,toy_det,coarse,34774e738af0,flat,0.5234190396546545,1.0,0.6346863468634686,0.8195506456610714,172,132,,,
mock,toy_det,coarse,34774e738af0,flat,0.5313956145006085,1.0,0.6199261992619927,0.8259171138480184,168,130,,,
mock,toy_det,coarse,34774e738af0,flat,0.5356965118088055,1.0,0.5977859778597786,0.8304221491302282,162,126,,,
mock,toy_det,coarse,34774e738af0,flat,0.540634460998563,1.0,0.5867158671586716,0.8271266781505102,159,123,,,
mock,toy_det,coarse,34774e738af0,flat,0.5437310457729816,1.0,0.5645756457564576,0.8377538374485922,153,120,,,
mock,toy_det,coarse,34774e738af0,flat,0.5466283454374212,1.0,0.5424354243542435,0.8491092721075303,147,117,,,
mock,toy_det,coarse,34774e738af0,flat,0.5502357553910628,1.0,0.5166051660516605,0.860242465195413,140,113,,,
mock,toy_det,coarse,34774e738af0,flat,0.5528441249203133,1.0,0.4907749077490775,0.8592591474895555,133,107,,,
mock,toy_det,coarse,34774e738af0,flat,0.5556489669083491,1.0,0.47232472324723246,0.8672127954626916,128,104,,,
mock,toy_det,coarse,34774e738af0,flat,0.556132153757564,1.0,0.4575645756457565,0.8628036618462596,124,100,,,
mock,toy_det,coarse,34774e738af0,flat,0.5593132298160185,1.0,0.4317343173431734,0.8691336285420386,117,95,,,
mock,toy_det,coarse,34774e738af0,flat,0.5634678251408893,1.0,0.41697416974169743,0.8719608184285099,113,92,,,
mock,toy_det,coarse,34774e738af0,flat,0.5666487277621696,1.0,0.4022140221402214,0.8827408130385248,109,90,,,
mock,toy_det,coarse,34774e738af0,flat,0.5703922910271034,1.0,0.3763837638376384,0.9071122183460475,102,87,,,
mock,toy_det,coarse,34774e738af0,flat,0.5726144255307768,1.0,0.36900369003690037,0.9133324224086319,100,86,,,
mock,toy_det,coarse,34774e738af0,flat,0.5754428380898746,1.0,0.3505535055350554,0.9171187128294834,95,82,,,
mock,toy_det,coarse,34774e738af0,flat,0.5774049081705884,1.0,0.3284132841328413,0.9113832259262249,89,76,,,
mock,toy_det,coarse,34774e738af0,flat,0.5777031354638756,1.0,0.2988929889298893,0.9023740910771069,81,68,,,
mock,toy_det,coarse,34774e738af0,flat,0.5791058733871546,1.0,0.2656826568265683,0.9118949178175763,72,61,,,
mock,toy_det,coarse,34774e738af0,flat,0.5820795449493484,1.0,0.24723247232472326,0.9280964489127725,67,58,,,
mock,toy_det,coarse,34774e738af0,flat,0.5848982993772024,1.0,0.22509225092250923,0.9562909343593677,61,55,,,
mock,toy_det,coarse,34774e738af0,flat,0.5865302822672881,1.0,0.2029520295202952,0.9514121495650574,55,49,,,
mock,toy_det,coarse,34774e738af0,flat,0.5884370676765849,1.0,0.18081180811808117,0.9716353005799504,49,45,,,
mock,toy_det,coarse,34774e738af0,flat,0.5920422983727214,1.0,0.15498154981549817,0.9802491949385652,42,39,,,
mock,toy_det,coarse,34774e738af0,flat,0.5941233852111645,1.0,0.13284132841328414,0.9985762008321867,36,35,,,
mock,toy_det,coarse,34774e738af0,flat,0.5967433936799638,1.0,0.12546125461254612,0.9984925110991039,34,33,,,
mock,toy_det,coarse,34774e738af0,flat,0.5997317132287681,1.0,0.08856088560885608,0.9978650616302984,24,23,,,
mock,toy_det,coarse,34774e738af0,flat,0.6033547239769321,1.0,0.07011070110701106,0.9973039936971287,19,18,,,
mock,toy_det,coarse,34774e738af0,flat,0.6109295222662049,1.0,0.055350553505535055,1.0,15,15,,,
